account_id,account_name,segment,industry,billing_state,billing_region,employee_count,created_date
ACC00001,Stonebridge Realty,Solo Agent,Luxury Residential,CA,West,1,2024-07-17
ACC00002,Stonebridge & Co.,Solo Agent,Residential Real Estate,CO,Southwest,1,2026-05-17
ACC00003,Ridgeline Properties,Small Team,Property Management,OR,West,2,2023-11-23
ACC00004,Stonebridge Partners,Large Team,Commercial Real Estate,MO,Midwest,11,2026-05-21
ACC00005,Summit & Co.,Large Team,Luxury Residential,OH,Midwest,16,2025-01-10
ACC00006,Cornerstone & Co.,Solo Agent,Luxury Residential,NC,Southeast,1,2025-01-17
ACC00007,Foxglove & Co.,Small Team,Property Management,PA,Northeast,7,2023-12-01
ACC00008,Cornerstone Real Estate,Large Team,Property Management,NM,Southwest,24,2024-10-08
ACC00009,Cypress Group,Solo Agent,Luxury Residential,SC,Southeast,1,2023-10-13
ACC00010,Summit Realty,Brokerage,Property Management,AZ,Southwest,247,2023-10-11
ACC00011,Cypress Realty,Solo Agent,Property Management,NY,Northeast,1,2025-02-20
ACC00012,Stonebridge & Co.,Solo Agent,property management,OR,West,1,2023-11-20
ACC00013,Ridgeline Real Estate,Large Team,Luxury Residential,MO,Midwest,19,2025-11-05
ACC00014,Cornerstone Real Estate,Solo Agent,Commercial Real Estate,CA,West,1,2025-01-13
ACC00015,Ridgeline Group,Large Team,Property Management,PA,Northeast,26,2023-09-20
ACC00016,Cypress Partners,Small Team,Commercial Real Estate,TX,Southwest,3,2025-03-28
ACC00017,Stonebridge & Co.,Small Team,luxury residential,CA,West,2,2024-04-16
ACC00018,Ridgeline & Co.,Small Team,Property Management,NV,West,8,2024-07-24
ACC00019,Beacon & Co.,Solo Agent,Commercial Real Estate,TX,Southwest,1,2025-06-01
ACC00020,Ridgeline Group,Solo Agent,Property Management,NV,West,1,2024-01-25
ACC00021,Cornerstone Properties,Solo Agent,Residential Real Estate,CT,Northeast,1,2026-01-12
ACC00022,Beacon Group,Solo Agent,Property Management,NV,West,1,2023-01-05
ACC00023,Summit Realty,Brokerage,Residential Real Estate,CO,Southwest,72,2026-04-01
ACC00024,Meridian Properties,Solo Agent,Luxury Residential,TX,Southwest,1,2023-05-20
ACC00025,Lakeshore Properties,Small Team,Luxury Residential,NJ,Northeast,3,2024-06-18
ACC00026,Meridian Realty,Solo Agent,Residential Real Estate,IL,Midwest,1,2023-05-29
ACC00027,Beacon Real Estate,Large Team,Commercial Real Estate,MI,Midwest,26,2024-05-15
ACC00028,Harbor & Co.,Brokerage,Commercial Real Estate,WA,West,138,2023-10-03
ACC00029,Summit Realty,Solo Agent,Property Management,MN,Midwest,1,2024-06-24
ACC00030,Cypress & Co.,Small Team,Luxury Residential,CO,Southwest,2,2024-06-20
ACC00031,Summit Group,Small Team,Luxury Residential,NM,Southwest,4,2025-01-26
ACC00032,Stonebridge Properties,Small Team,Property Management,AZ,Southwest,8,2024-12-25
ACC00033,Stonebridge Properties,Solo Agent,Property Management,OR,West,1,2024-11-11
ACC00034,Beacon Group,Large Team,Luxury Residential,OR,West,9,2024-03-31
ACC00035,Blackwood Group,Solo Agent,Residential Real Estate,CO,Southwest,1,2024-07-24
ACC00036,Ironwood Group,Small Team,Residential Real Estate,NM,Southwest,6,2024-06-27
ACC00037,Ironwood Realty,Large Team,commercial real estate,SC,Southeast,22,2024-01-25
ACC00038,Foxglove Partners,Small Team,Commercial Real Estate,MI,Midwest,7,2023-09-13
ACC00039,Blackwood Partners,Solo Agent,Luxury Residential,TX,Southwest,1,2025-02-15
ACC00040,Foxglove Properties,Small Team,Property Management,PA,Northeast,8,2024-10-21
ACC00041,Cornerstone & Co.,Solo Agent,Residential Real Estate,OR,West,1,2024-11-17
ACC00042,Foxglove Real Estate,Solo Agent,Residential Real Estate,WA,West,1,2025-08-31
ACC00043,Cornerstone Properties,Small Team,Residential Real Estate,CO,Southwest,6,2023-01-12
ACC00044,Beacon Real Estate,Solo Agent,Commercial Real Estate,SC,Southeast,1,2025-08-09
ACC00045,Cornerstone & Co.,Small Team,Property Management,NM,Southwest,7,2025-08-30
ACC00046,Lakeshore Real Estate,Solo Agent,Luxury Residential,FL,Southeast,1,2024-08-08
ACC00047,Cypress Partners,Small Team,Property Management,CO,Southwest,3,2023-05-12
ACC00048,Lakeshore Group,Brokerage,Property Management,CT,Northeast,339,2023-02-10
ACC00049,Ironwood Group,Small Team,Property Management,CO,Southwest,8,2024-07-12
ACC00050,Ironwood Properties,Small Team,Residential Real Estate,CT,Northeast,2,2025-03-17
ACC00051,Ironwood Group,Solo Agent,Commercial Real Estate,MN,Midwest,1,2024-10-31
ACC00052,Harbor & Co.,Small Team,Commercial Real Estate,CA,West,3,2023-04-17
ACC00053,Meridian Properties,Solo Agent,Property Management,CT,Northeast,1,2023-09-16
ACC00054,Harbor Real Estate,Small Team,Luxury Residential,NY,Northeast,6,2023-08-23
ACC00055,Foxglove Properties,Brokerage,Residential Real Estate,FL,Southeast,338,2024-02-11
ACC00056,Ironwood & Co.,Large Team,Residential Real Estate,OR,West,29,2026-03-05
ACC00057,Lakeshore & Co.,Large Team,Residential Real Estate,NV,West,14,2025-09-30
ACC00058,Stonebridge Real Estate,Small Team,Property Management,MI,Midwest,8,2026-01-07
ACC00059,Foxglove Partners,Large Team,Property Management,MI,Midwest,19,2024-05-14
ACC00060,Meridian & Co.,Solo Agent,Commercial Real Estate,NC,Southeast,1,2024-06-13
ACC00061,Foxglove & Co.,Small Team,Luxury Residential,CO,Southwest,8,2025-09-27
ACC00062,Lakeshore Partners,Solo Agent,Commercial Real Estate,MO,Midwest,1,2024-05-13
ACC00063,Harbor & Co.,Small Team,Commercial Real Estate,OH,Midwest,2,2024-07-08
ACC00064,Cypress Real Estate,Solo Agent,Commercial Real Estate,NM,Southwest,1,2025-09-18
ACC00065,Ridgeline Group,Solo Agent,Residential Real Estate,TX,Southwest,1,2024-09-11
ACC00066,Meridian Group,Small Team,Residential Real Estate,CO,Southwest,5,2025-10-02
ACC00067,Ironwood Partners,Solo Agent,Residential Real Estate,CA,West,1,2025-09-05
ACC00068,Ironwood Real Estate,Solo Agent,Residential Real Estate,MO,Midwest,1,2024-05-23
ACC00069,Meridian Realty,Large Team,Property Management,SC,Southeast,15,2024-08-31
ACC00070,Cypress Realty,Solo Agent,Luxury Residential,AZ,Southwest,1,2023-06-16
ACC00071,Blackwood & Co.,Small Team,Luxury Residential,CT,Northeast,7,2023-03-08
ACC00072,Cornerstone & Co.,Small Team,Property Management,MA,Northeast,8,2024-02-10
ACC00073,Beacon & Co.,Solo Agent,Commercial Real Estate,OR,West,1,2024-09-21
ACC00074,Stonebridge Group,Solo Agent,Residential Real Estate,SC,Southeast,1,2026-05-09
ACC00075,Ridgeline Partners,Small Team,Commercial Real Estate,PA,Northeast,4,2023-02-12
ACC00076,Ironwood Group,Small Team,Residential Real Estate,NC,Southeast,8,2025-10-04
ACC00077,Cypress Realty,Small Team,Property Management,TN,Southeast,4,2024-08-13
ACC00078,Cypress Partners,Brokerage,Residential Real Estate,NV,West,216,2025-04-07
ACC00079,Cypress Properties,Small Team,Residential Real Estate,NJ,Northeast,7,2025-06-24
ACC00080,Blackwood Real Estate,Brokerage,Luxury Residential,CA,West,89,2026-05-31
ACC00081,Blackwood Real Estate,Brokerage,Property Management,NC,Southeast,272,2023-11-12
ACC00082,Meridian Real Estate,Solo Agent,Property Management,AZ,Southwest,1,2023-10-24
ACC00083,Meridian Real Estate,Solo Agent,Commercial Real Estate,CT,Northeast,1,2023-01-06
ACC00084,Lakeshore Properties,Solo Agent,Property Management,OH,Midwest,1,2026-01-17
ACC00085,Foxglove Properties,Small Team,Property Management,MN,Midwest,3,2025-02-19
ACC00086,Beacon Realty,Large Team,Residential Real Estate,OH,Midwest,29,2025-06-20
ACC00087,Ironwood & Co.,Small Team,Commercial Real Estate,CA,West,8,2024-06-26
ACC00088,Cornerstone & Co.,Brokerage,Residential Real Estate,NC,Southeast,253,2025-09-26
ACC00089,Blackwood Realty,Large Team,Property Management,CA,West,10,2023-07-25
ACC00090,Meridian & Co.,Solo Agent,Luxury Residential,OH,Midwest,1,2023-10-26
ACC00091,Ridgeline Properties,Small Team,Property Management,TN,Southeast,5,2024-05-08
ACC00092,Ridgeline Realty,Large Team,Commercial Real Estate,NV,West,18,2025-08-10
ACC00093,Ironwood Partners,Small Team,Commercial Real Estate,FL,Southeast,5,2025-07-24
ACC00094,Foxglove Partners,Solo Agent,Residential Real Estate,NJ,Northeast,1,2024-08-27
ACC00095,Lakeshore Properties,Small Team,Luxury Residential,MA,Northeast,7,2024-08-09
ACC00096,Summit Real Estate,Small Team,Commercial Real Estate,NM,Southwest,2,2023-03-22
ACC00097,Blackwood Properties,Solo Agent,Commercial Real Estate,NC,Southeast,1,2023-09-28
