opportunity_id,account_id,source_lead_id,opportunity_name,opportunity_type,plan_tier,amount,stage_name,is_closed,is_won,created_date,close_date,owner_region
OPP000001,ACC00001,LEAD002024,Stonebridge Realty - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2024-08-13,2024-10-30,West
OPP000002,ACC00001,,Stonebridge Realty - Scale (Expansion),Expansion,Scale,10154,Closed Lost,true,false,2025-03-24,2025-07-17,West
OPP000003,ACC00002,LEAD000474,Stonebridge & Co. - Launch (New Business),New Business,Launch,6000,Demo,false,false,2026-06-27,2026-10-22,Southwest
OPP000004,ACC00003,LEAD000089,Ridgeline Properties - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-12-16,2024-01-14,West
OPP000005,ACC00003,,Ridgeline Properties - Launch (Expansion),Expansion,Launch,3567,Closed Won,true,true,2024-07-22,2024-09-21,West
OPP000006,ACC00004,LEAD003434,Stonebridge Partners - Launch (New Business),New Business,Launch,6000,Demo,false,false,2026-06-22,2026-07-28,Midwest
OPP000007,ACC00005,LEAD002230,Summit & Co. - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2025-02-23,2025-05-02,Midwest
OPP000008,ACC00006,LEAD001499,Cornerstone & Co. - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2025-01-20,2025-02-15,Southeast
OPP000009,ACC00007,LEAD000414,Foxglove & Co. - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2024-01-05,2024-03-18,Northeast
OPP000010,ACC00008,LEAD000667,Cornerstone Real Estate - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2024-10-12,2024-11-20,Southwest
OPP000011,ACC00008,,Cornerstone Real Estate - All In (Expansion),Expansion,All In,19697,Closed Lost,true,false,2025-07-17,2025-09-13,Southwest
OPP000012,ACC00009,LEAD002388,Cypress Group - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-10-29,2023-11-12,Southeast
OPP000013,ACC00010,,Summit Realty - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2023-10-17,2024-01-29,Southwest
OPP000014,ACC00011,LEAD003268,Cypress Realty - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2025-02-25,2025-04-18,Northeast
OPP000015,ACC00012,,Stonebridge & Co. - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-12-26,2024-03-29,West
OPP000016,ACC00013,,Ridgeline Real Estate - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2025-11-24,2026-03-14,Midwest
OPP000017,ACC00014,LEAD000872,Cornerstone Real Estate - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2025-02-15,2025-05-17,West
OPP000018,ACC00015,LEAD000701,Ridgeline Group - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2023-10-29,2024-02-05,Northeast
OPP000019,ACC00015,,Ridgeline Group - Scale (Expansion),Expansion,Scale,12221,Closed Won,true,true,2024-06-14,2024-07-07,Northeast
OPP000020,ACC00016,,Cypress Partners - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2025-04-22,2025-06-09,Southwest
OPP000021,ACC00017,LEAD001130,Stonebridge & Co. - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2024-04-24,2024-05-11,West
OPP000022,ACC00018,LEAD003135,Ridgeline & Co. - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2024-08-26,2024-09-18,West
OPP000023,ACC00019,LEAD001892,Beacon & Co. - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2025-06-15,2025-07-31,Southwest
OPP000024,ACC00020,LEAD000473,Ridgeline Group - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2024-02-13,2024-04-26,West
OPP000025,ACC00020,,Ridgeline Group - Scale (Expansion),Expansion,Scale,10417,Closed Won,true,true,2024-10-17,2024-12-21,West
OPP000026,ACC00021,LEAD002782,Cornerstone Properties - All In (New Business),New Business,All In,33600,Closed Lost,true,false,2026-02-23,2026-05-22,Northeast
OPP000027,ACC00022,LEAD002918,Beacon Group - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2023-01-15,2023-02-06,West
OPP000028,ACC00023,LEAD002796,Summit Realty - Brand (New Business),New Business,Brand,10800,Proposal,false,false,2026-04-25,2026-06-25,Southwest
OPP000029,ACC00024,LEAD003175,Meridian Properties - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-07-03,2023-09-01,Southwest
OPP000030,ACC00024,,Meridian Properties - All In (Expansion),Expansion,All In,19386,Closed Lost,true,false,2024-02-16,2024-06-05,Southwest
OPP000031,ACC00025,LEAD002802,Lakeshore Properties - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2024-07-11,2024-08-05,Northeast
OPP000032,ACC00025,,Lakeshore Properties - Brand (Expansion),Expansion,Brand,4383,Closed Won,true,true,2025-03-05,2025-06-15,Northeast
OPP000033,ACC00026,LEAD002632,Meridian Realty - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2023-06-27,2023-09-07,Midwest
OPP000034,ACC00027,LEAD002465,Beacon Real Estate - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2024-05-23,2024-08-08,Midwest
OPP000035,ACC00028,LEAD001612,Harbor & Co. - Brand (New Business),New Business,Brand,10800,Closed Won,true,true,2023-11-12,2024-02-06,West
OPP000036,ACC00029,,Summit Realty - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2024-07-05,2024-09-09,Midwest
OPP000037,ACC00030,LEAD002179,Cypress & Co. - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2024-07-16,2024-08-02,Southwest
OPP000038,ACC00031,LEAD001468,Summit Group - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2025-02-17,2025-05-19,Southwest
OPP000039,ACC00031,,Summit Group - Scale (Expansion),Expansion,Scale,8409,Closed Won,true,true,2025-09-26,2025-12-13,Southwest
OPP000040,ACC00032,,Stonebridge Properties - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2025-01-06,2025-05-04,Southwest
OPP000041,ACC00033,LEAD000022,Stonebridge Properties - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2024-12-23,2025-03-16,West
OPP000042,ACC00034,LEAD000142,Beacon Group - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2024-03-31,2024-05-14,West
OPP000043,ACC00035,LEAD002492,Blackwood Group - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2024-08-29,2024-09-12,Southwest
OPP000044,ACC00035,,Blackwood Group - Brand (Expansion),Expansion,Brand,4203,Closed Lost,true,false,2025-04-16,2025-08-02,Southwest
OPP000045,ACC00036,,Ironwood Group - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2024-07-16,2024-09-11,Southwest
OPP000046,ACC00036,,Ironwood Group - Brand (Expansion),Expansion,Brand,5073,Closed Lost,true,false,2025-03-16,2025-06-24,Southwest
OPP000047,ACC00037,LEAD000151,Ironwood Realty - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2024-01-28,2024-04-10,Southeast
OPP000048,ACC00038,LEAD002696,Foxglove Partners - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2023-10-21,2024-02-11,Midwest
OPP000049,ACC00038,,Foxglove Partners - Scale (Expansion),Expansion,Scale,8428,Closed Lost,true,false,2024-05-22,2024-07-09,Midwest
OPP000050,ACC00039,LEAD001170,Blackwood Partners - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2025-03-13,2025-06-24,Southwest
OPP000051,ACC00040,LEAD002359,Foxglove Properties - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2024-10-25,2025-02-06,Northeast
OPP000052,ACC00041,,Cornerstone & Co. - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2024-12-23,2025-04-02,West
OPP000053,ACC00042,LEAD001127,Foxglove Real Estate - Scale (New Business),New Business,Scale,19200,Closed Lost,true,false,2025-09-17,2025-12-20,West
OPP000054,ACC00043,LEAD003312,Cornerstone Properties - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2023-02-21,2023-06-03,Southwest
OPP000055,ACC00043,,Cornerstone Properties - Scale (Expansion),Expansion,Scale,8880,Closed Won,true,true,2023-10-07,2023-12-06,Southwest
OPP000056,ACC00044,,Beacon Real Estate - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2025-08-30,2025-11-07,Southeast
OPP000057,ACC00045,LEAD000125,Cornerstone & Co. - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2025-10-03,2026-01-30,Southwest
OPP000058,ACC00045,,Cornerstone & Co. - Brand (Expansion),Expansion,Brand,2821,Prospecting,false,false,2026-06-11,2026-11-05,Southwest
OPP000059,ACC00046,LEAD000302,Lakeshore Real Estate - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2024-08-11,2024-09-29,Southeast
OPP000060,ACC00047,LEAD000338,Cypress Partners - Launch (New Business),New Business,Launch,6000,Closed Lost,true,false,2023-05-27,2023-08-28,Southwest
OPP000061,ACC00047,,Cypress Partners - Brand (Expansion),Expansion,Brand,7012,Closed Lost,true,false,2024-01-20,2024-02-25,Southwest
OPP000062,ACC00048,LEAD002651,Lakeshore Group - Launch (New Business),New Business,Launch,6000,Closed Won,true,true,2023-02-11,2023-03-19,Northeast
OPP000063,ACC00049,LEAD000533,Ironwood Group - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2024-08-03,2024-11-21,Southwest
OPP000064,ACC00049,,Ironwood Group - Launch (Expansion),Expansion,Launch,2854,Closed Won,true,true,2025-03-23,2025-06-18,Southwest
OPP000065,ACC00050,LEAD002686,Ironwood Properties - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2025-04-27,2025-08-21,Northeast
OPP000066,ACC00051,LEAD000173,Ironwood Group - Scale (New Business),New Business,Scale,19200,Closed Won,true,true,2024-11-02,2025-01-31,Midwest
OPP000067,ACC00051,,Ironwood Group - Launch (Expansion),Expansion,Launch,2743,Closed Lost,true,false,2025-07-24,2025-11-06,Midwest
OPP000068,ACC00052,LEAD002344,Harbor & Co. - Brand (New Business),New Business,Brand,10800,Closed Lost,true,false,2023-04-17,2023-05-10,West
