stage_history_id,opportunity_id,stage_name,entered_at
SH0000001,OPP000001,Prospecting,2024-08-13
SH0000002,OPP000001,Discovery,2024-08-26
SH0000003,OPP000001,Demo,2024-09-08
SH0000004,OPP000001,Proposal,2024-09-21
SH0000005,OPP000001,Negotiation,2024-10-04
SH0000006,OPP000001,Closed Won,2024-10-17
SH0000007,OPP000002,Prospecting,2025-03-24
SH0000008,OPP000002,Discovery,2025-04-12
SH0000009,OPP000002,Demo,2025-05-01
SH0000010,OPP000002,Proposal,2025-05-20
SH0000011,OPP000002,Negotiation,2025-06-08
SH0000012,OPP000002,Closed Lost,2025-06-27
SH0000013,OPP000003,Prospecting,2026-06-27
SH0000014,OPP000003,Discovery,2026-07-16
SH0000015,OPP000003,Demo,2026-08-04
SH0000016,OPP000004,Prospecting,2023-12-16
SH0000017,OPP000004,Discovery,2023-12-20
SH0000018,OPP000004,Demo,2023-12-24
SH0000019,OPP000004,Proposal,2023-12-28
SH0000020,OPP000004,Negotiation,2024-01-01
SH0000021,OPP000004,Closed Lost,2024-01-05
SH0000022,OPP000005,Prospecting,2024-07-22
SH0000023,OPP000005,Discovery,2024-08-01
SH0000024,OPP000005,Demo,2024-08-11
SH0000025,OPP000005,Proposal,2024-08-21
SH0000026,OPP000005,Negotiation,2024-08-31
SH0000027,OPP000005,Closed Won,2024-09-10
SH0000028,OPP000006,Prospecting,2026-06-22
SH0000029,OPP000006,Discovery,2026-07-21
SH0000030,OPP000006,Demo,2026-08-19
SH0000031,OPP000007,Prospecting,2025-02-23
SH0000032,OPP000007,Discovery,2025-03-06
SH0000033,OPP000007,Demo,2025-03-17
SH0000034,OPP000007,Proposal,2025-03-28
SH0000035,OPP000007,Negotiation,2025-04-08
SH0000036,OPP000007,Closed Won,2025-04-19
SH0000037,OPP000008,Prospecting,2025-01-20
SH0000038,OPP000008,Discovery,2025-01-24
SH0000039,OPP000008,Demo,2025-01-28
SH0000040,OPP000008,Proposal,2025-02-01
SH0000041,OPP000008,Negotiation,2025-02-05
SH0000042,OPP000008,Closed Lost,2025-02-09
SH0000043,OPP000009,Prospecting,2024-01-05
SH0000044,OPP000009,Discovery,2024-01-17
SH0000045,OPP000009,Demo,2024-01-29
SH0000046,OPP000009,Proposal,2024-02-10
SH0000047,OPP000009,Negotiation,2024-02-22
SH0000048,OPP000009,Closed Lost,2024-03-05
SH0000049,OPP000010,Prospecting,2024-10-12
SH0000050,OPP000010,Discovery,2024-10-18
SH0000051,OPP000010,Demo,2024-10-24
SH0000052,OPP000010,Proposal,2024-10-30
SH0000053,OPP000010,Negotiation,2024-11-05
SH0000054,OPP000010,Closed Lost,2024-11-11
SH0000055,OPP000011,Prospecting,2025-07-17
SH0000056,OPP000011,Discovery,2025-07-26
SH0000057,OPP000011,Demo,2025-08-04
SH0000058,OPP000011,Proposal,2025-08-13
SH0000059,OPP000011,Negotiation,2025-08-22
SH0000060,OPP000011,Closed Lost,2025-08-31
SH0000061,OPP000012,Prospecting,2023-10-29
SH0000062,OPP000012,Discovery,2023-10-31
SH0000063,OPP000012,Demo,2023-11-02
SH0000064,OPP000012,Proposal,2023-11-04
SH0000065,OPP000012,Negotiation,2023-11-06
SH0000066,OPP000012,Closed Lost,2023-11-08
SH0000067,OPP000013,Prospecting,2023-10-17
SH0000068,OPP000013,Discovery,2023-11-03
SH0000069,OPP000013,Demo,2023-11-20
SH0000070,OPP000013,Proposal,2023-12-07
SH0000071,OPP000013,Negotiation,2023-12-24
SH0000072,OPP000013,Closed Won,2024-01-10
SH0000073,OPP000014,Prospecting,2025-02-25
