subscription_id,account_id,opportunity_id,plan_tier,mrr,term_number,start_date,end_date,end_status
SUB000001,ACC00001,OPP000001,Brand,900,1,2024-10-30,2025-10-30,Upgraded
SUB000002,ACC00001,OPP000001,Scale,1600,2,2025-10-30,2026-10-30,Active
SUB000003,ACC00005,OPP000007,Launch,500,1,2025-05-02,2026-05-02,Upgraded
SUB000004,ACC00005,OPP000007,Brand,900,2,2026-05-02,2027-05-02,Active
SUB000005,ACC00010,OPP000013,Launch,500,1,2024-01-29,2025-01-28,Churned
SUB000006,ACC00013,OPP000016,Brand,900,1,2026-03-14,2027-03-14,Active
SUB000007,ACC00014,OPP000017,Scale,1600,1,2025-05-17,2026-05-17,Upgraded
SUB000008,ACC00014,OPP000017,All In,2800,2,2026-05-17,2027-05-17,Active
SUB000009,ACC00015,OPP000018,Brand,900,1,2024-02-05,2025-02-04,Renewed
SUB000010,ACC00015,OPP000018,Brand,900,2,2025-02-04,2026-02-04,Renewed
SUB000011,ACC00015,OPP000018,Brand,900,3,2026-02-04,2027-02-04,Active
SUB000012,ACC00020,OPP000024,Brand,900,1,2024-04-26,2025-04-26,Renewed
SUB000013,ACC00020,OPP000024,Brand,900,2,2025-04-26,2026-04-26,Upgraded
SUB000014,ACC00020,OPP000024,Scale,1600,3,2026-04-26,2027-04-26,Active
SUB000015,ACC00027,OPP000034,Launch,500,1,2024-08-08,2025-08-08,Upgraded
SUB000016,ACC00027,OPP000034,Brand,900,2,2025-08-08,2026-08-08,Active
SUB000017,ACC00028,OPP000035,Brand,900,1,2024-02-06,2025-02-05,Upgraded
SUB000018,ACC00028,OPP000035,Scale,1600,2,2025-02-05,2026-02-05,Churned
SUB000019,ACC00029,OPP000036,Scale,1600,1,2024-09-09,2025-09-09,Renewed
SUB000020,ACC00029,OPP000036,Scale,1600,2,2025-09-09,2026-09-09,Active
SUB000021,ACC00032,OPP000040,Scale,1600,1,2025-05-04,2026-05-04,Renewed
SUB000022,ACC00032,OPP000040,Scale,1600,2,2026-05-04,2027-05-04,Active
SUB000023,ACC00034,OPP000042,Launch,500,1,2024-05-14,2025-05-14,Downgraded
SUB000024,ACC00034,OPP000042,Launch,500,2,2025-05-14,2026-05-14,Renewed
SUB000025,ACC00034,OPP000042,Launch,500,3,2026-05-14,2027-05-14,Active
SUB000026,ACC00035,OPP000043,Launch,500,1,2024-09-12,2025-09-12,Renewed
SUB000027,ACC00035,OPP000043,Launch,500,2,2025-09-12,2026-09-12,Active
SUB000028,ACC00039,OPP000050,Launch,500,1,2025-06-24,2026-06-24,Upgraded
SUB000029,ACC00039,OPP000050,Brand,900,2,2026-06-24,2027-06-24,Active
SUB000030,ACC00043,OPP000054,Launch,500,1,2023-06-03,2024-06-02,Churned
SUB000031,ACC00044,OPP000056,Launch,500,1,2025-11-07,2026-11-07,Active
SUB000032,ACC00048,OPP000062,Launch,500,1,2023-03-19,2024-03-18,Renewed
SUB000033,ACC00048,OPP000062,Launch,500,2,2024-03-18,2025-03-18,Upgraded
SUB000034,ACC00048,OPP000062,Brand,900,3,2025-03-18,2026-03-18,Renewed
SUB000035,ACC00048,OPP000062,Brand,900,4,2026-03-18,2027-03-18,Active
SUB000036,ACC00049,OPP000063,Scale,1600,1,2024-11-21,2025-11-21,Upgraded
SUB000037,ACC00049,OPP000063,All In,2800,2,2025-11-21,2026-11-21,Active
SUB000038,ACC00051,OPP000066,Scale,1600,1,2025-01-31,2026-01-31,Renewed
SUB000039,ACC00051,OPP000066,Scale,1600,2,2026-01-31,2027-01-31,Active
